ID,XAxis,YAxis,ZAxis,GlobalTime
0,6466380.92356896,1598257.47821477,0,13900
0,6001973.07262501,1835206.41633596,0,14000
0,5440481.70238264,2042260.47059383,0,14100
0,4767960.25001002,2207254.56484865,0,14200
0,3963463.05230127,2310365.20400164,0,14300
0,2993460.55715517,2315000.69536578,0,14400
0,1799096.99058791,2138770.3528673,0,14500
0,274490.385703628,1507131.4149483,0,14600
0,-449976.833804027,-815955.856094594,0,14700
0,1199371.70204585,-1960240.45010468,0,14800
0,2518372.99892519,-2270300.48811242,0,14900
0,3574253.09963048,-2327516.74252651,0,15000
0,4443906.64023424,-2260191.54459242,0,15100
0,5169377.74980933,-2118401.37205789,0,15200
0,5776006.49715336,-1927400.90687767,0,15300
0,6280268.29472165,-1701974.3434882,0,15400
0,6693416.81594517,-1451700.79986749,0,15500
0,7023359.35189719,-1183285.44628868,0,15600
0,7275701.12768885,-901735.023049659,0,15700
0,7454358.75196994,-611013.556589721,0,15800
0,7561930.09129608,-314442.147172522,0,15900
0,7599914.15291258,-14966.0569483291,0,16000
0,7568829.02448677,284646.561187258,0,16100
0,7468251.14586766,581635.726997022,0,16200
0,7296783.25934835,873082.033084544,0,16300
0,7051945.0583424,1155712.36282942,0,16400
0,6729965.11696713,1425641.91401704,0,16500
0,6325429.18623476,1677991.81722648,0,16600
0,5830697.3291558,1906267.44898801,0,16700
0,5234915.55729224,2101254.08833028,0,16800
0,4522252.36689419,2248850.9979805,0,16900
0,3668503.81990359,2325251.8021418,0,17000
0,2633867.15311774,2284102.71831434,0,17100
0,1346180.21905294,2010609.10456487,0,17200
0,-288656.195225668,1025590.47870387,0,17300
0,101632.279586546,-1385012.11838664,0,17400
0,1663994.24279974,-2104562.68061801,0,17500
0,2885675.67198713,-2307629.12568103,0,17600
0,3874825.27947533,-2316088.20972674,0,17700
0,4694047.76078759,-2220746.78743665,0,17800
0,5378646.48513834,-2060860.53450283,0,17900
0,5950501.19663532,-1857368.64391177,0,18000
